i;tmja_avant;tmja_apres;diff_tmja
1;41;0;41
2;877;911.0;34.0
3;206;0;206
4;278;92.0;186.0
5;85;103.0;18.0
6;115;38.0;77.0
7;75;48.0;27.0
8;123;0;123
9;185;39.0;146.0
10;22;0;22
11;770;36.0;734.0
12;55;0;55
13;137;90.0;47.0
14;364;423.0;59.0
15;92;97.0;5.0
16;126;0;126
17;7;0;7
18;28;0;28
19;64;20.0;44.0
20;22;0;22
21;18;0;18
22;0;20.0;20.0
23;446;0;446
24;1015;759.0;256.0
25;508;424.0;84.0
26;10;0;10
27;25;0;25
28;1;0;1
29;22;20.0;2.0
30;63;148.0;85.0
31;1;0;1
32;703;714.0;11.0
33;788;884.0;96.0
34;98;0;98
35;36;0;36
36;167;0;167
37;33;0;33
38;76;36.0;40.0
39;87;148.0;61.0
40;15;22.0;7.0
41;293;15.0;278.0
42;9;0;9
43;3;0;3
44;759;721.0;38.0
45;101;0;101
46;522;278.0;244.0
47;500;383.0;117.0
48;122;0;122
49;607;0;607
50;630;278.0;352.0
51;1369;1331.0;38.0
52;1237;747.0;490.0
53;25;11.0;14.0
54;75;0;75
55;70;24.0;46.0
56;47;0;47
57;917;1008.0;91.0
58;57;0;57
59;226;44.0;182.0
60;14;24.0;10.0
61;173;1.0;172.0
62;191;0;191
63;1602;1576.0;26.0
64;90;0;90
65;1787;1606.0;181.0
66;77;0;77
67;492;473.0;19.0
68;72;0;72
69;7;14.0;7.0
70;106;0;106
71;901;1638.0;737.0
72;430;0;430
73;524;351.0;173.0
74;221;0;221
75;506;499.0;7.0
76;271;0;271
77;11;0;11
78;2147;1711.0;436.0
79;34;0;34
80;33;0;33
81;193;181.0;12.0
82;1924;1530.0;394.0
83;225;181.0;44.0
84;143;538.0;395.0
85;49;0;49
86;139;278.0;139.0
87;706;0;706
88;28;3.0;25.0
89;74;0;74
90;16;0;16
91;278;105.0;173.0
92;5;181.0;176.0
93;210;200.0;10.0
94;27;0;27
95;424;462.0;38.0
96;31;0;31
97;305;70.0;235.0
