i;tmja_avant;tmja_apres;diff_tmja
1;903;863.0;40.0
2;209;0;209
3;264;233.0;31.0
4;6;0;6
5;116;0;116
6;70;170.0;100.0
7;85;54.0;31.0
8;171;57.0;114.0
9;20;0;20
10;704;717.0;13.0
11;136;0;136
12;430;448.0;18.0
13;366;0;366
14;98;63.0;35.0
15;23;63.0;40.0
16;79;0;79
17;25;63.0;38.0
19;447;0;447
20;1046;0;1046
21;526;402.0;124.0
22;522;557.0;35.0
23;51;58.0;7.0
24;22;25.0;3.0
25;1;63.0;62.0
26;27;0;27
27;73;6.0;67.0
28;33;0;33
30;810;519.0;291.0
31;114;253.0;139.0
32;32;0;32
33;61;35.0;26.0
34;30;13.0;17.0
35;327;37.0;290.0
36;668;655.0;13.0
37;12;74.0;62.0
38;714;716.0;2.0
39;121;2.0;119.0
40;86;0;86
41;474;251.0;223.0
42;442;217.0;225.0
43;531;0;531
44;551;252.0;299.0
45;1409;1285.0;124.0
46;1264;910.0;354.0
47;563;375.0;188.0
48;92;122.0;30.0
49;35;0;35
50;48;0;48
51;229;229.0;0.0
52;26;13.0;13.0
53;23;0;23
54;171;171.0;0.0
55;1551;1537.0;14.0
56;2011;1850.0;161.0
57;478;511.0;33.0
58;46;34.0;12.0
59;10;0;10
60;17;0;17
61;936;540.0;396.0
62;423;0;423
63;504;563.0;59.0
64;440;1024.0;584.0
65;240;0;240
66;15;0;15
67;2086;2019.0;67.0
68;38;0;38
69;179;173.0;6.0
70;1879;1816.0;63.0
71;138;34.0;104.0
72;39;91.0;52.0
73;663;469.0;194.0
74;21;24.0;3.0
75;73;0;73
76;17;28.0;11.0
77;287;221.0;66.0
78;2;0;2
79;33;25.0;8.0
80;237;12.0;225.0
81;224;0;224
82;26;12.0;14.0
83;462;0;462
84;28;0;28
85;337;559.0;222.0
86;266;0;266
87;276;37.0;239.0
88;321;0;321
89;0;541.0;541.0
90;142;0;142
91;336;0;336
92;49;0;49
93;1258;282.0;976.0
94;18;6.0;12.0
95;139;0;139
96;819;513.0;306.0
97;42;120.0;78.0
98;49;0;49
99;96;0;96
100;439;298.0;141.0
101;0;552.0;552.0
102;314;0;314
103;242;0;242
104;1556;1393.0;163.0
105;1456;93.0;1363.0
106;5;35.0;30.0
107;688;0;688
108;960;928.0;32.0
109;86;1.0;85.0
110;38;0;38
111;82;55.0;27.0
112;0;43.0;43.0
113;243;0;243
114;199;0;199
115;31;91.0;60.0
116;0;7.0;7.0
117;80;0;80
118;88;57.0;31.0
120;24;0;24
121;142;154.0;12.0
122;42;77.0;35.0
123;32;0;32
124;1;17.0;16.0
126;74;52.0;22.0
127;2;0;2
128;115;117.0;2.0
129;42;57.0;15.0
130;45;0;45
131;53;104.0;51.0
132;7;3.0;4.0
133;211;201.0;10.0
134;115;50.0;65.0
135;1296;1229.0;67.0
136;344;0;344
137;1116;713.0;403.0
138;110;944.0;834.0
139;35;0;35
140;188;965.0;777.0
141;98;0;98
142;449;465.0;16.0
143;93;46.0;47.0
144;60;0;60
145;32;0;32
146;405;301.0;104.0
147;137;142.0;5.0
148;8;0;8
149;21;26.0;5.0
150;268;0;268
151;998;780.0;218.0
152;23;0;23
153;104;162.0;58.0
154;179;0;179
155;171;0;171
156;165;37.0;128.0
157;30;249.0;219.0
158;269;46.0;223.0
159;148;147.0;1.0
160;186;0;186
161;88;37.0;51.0
162;734;803.0;69.0
163;175;82.0;93.0
164;950;84.0;866.0
165;435;0;435
166;1075;963.0;112.0
167;675;687.0;12.0
168;71;50.0;21.0
169;47;0;47
170;14;35.0;21.0
171;3;0;3
172;19;35.0;16.0
173;2;203.0;201.0
174;76;0;76
175;115;50.0;65.0
176;17;236.0;219.0
177;12;0;12
178;57;61.0;4.0
179;30;40.0;10.0
180;24;8.0;16.0
181;42;0;42
182;259;403.0;144.0
183;158;0;158
184;53;0;53
185;11;35.0;24.0
186;19;16.0;3.0
187;37;16.0;21.0
188;24;0;24
189;46;16.0;30.0
190;216;232.0;16.0
191;26;0;26
192;20;21.0;1.0
193;78;0;78
194;101;175.0;74.0
195;64;0;64
197;85;0;85
198;388;0;388
199;124;609.0;485.0
200;330;199.0;131.0
201;235;138.0;97.0
204;22;0;22
205;0;91.0;91.0
206;8;0;8
207;158;0;158
208;0;4.0;4.0
209;1132;1090.0;42.0
210;947;0;947
211;54;348.0;294.0
212;976;0;976
213;9;0;9
214;19;0;19
215;358;221.0;137.0
216;1171;198.0;973.0
217;1248;282.0;966.0
218;978;0;978
219;13;25.0;12.0
220;18;0;18
221;470;451.0;19.0
222;50;0;50
223;9;440.0;431.0
224;479;0;479
225;58;440.0;382.0
226;118;106.0;12.0
227;321;258.0;63.0
228;37;27.0;10.0
229;1871;1816.0;55.0
230;159;92.0;67.0
231;1069;1147.0;78.0
232;545;440.0;105.0
233;888;0;888
234;1329;1241.0;88.0
235;74;0;74
236;406;389.0;17.0
237;22;0;22
238;45;0;45
239;1;121.0;120.0
240;87;121.0;34.0
242;331;334.0;3.0
243;40;471.0;431.0
244;125;0;125
245;232;141.0;91.0
246;554;0;554
247;295;281.0;14.0
248;132;141.0;9.0
249;15;0;15
250;205;138.0;67.0
251;142;89.0;53.0
252;106;43.0;63.0
253;64;49.0;15.0
254;23;17.0;6.0
255;19;0;19
256;20;0;20
257;17;0;17
258;1048;1147.0;99.0
259;19;0;19
260;86;60.0;26.0
261;11;0;11
262;60;0;60
263;19;0;19
264;56;43.0;13.0
265;87;0;87
266;56;51.0;5.0
267;25;22.0;3.0
268;39;48.0;9.0
269;94;0;94
