i;tmja_avant;tmja_apres;diff_tmja
1;12;0;12
2;43;0;43
3;246;42.0;204.0
4;240;0;240
5;87;88.0;1.0
6;9;0;9
7;138;130.0;8.0
8;67;0;67
9;169;0;169
10;700;594.0;106.0
11;49;14.0;35.0
12;145;0;145
13;438;638.0;200.0
14;390;429.0;39.0
15;508;474.0;34.0
16;106;263.0;157.0
17;135;0;135
18;7;0;7
19;17;87.0;70.0
20;73;0;73
21;21;0;21
22;21;130.0;109.0
23;1100;1478.0;378.0
24;510;0;510
25;49;97.0;48.0
28;839;889.0;50.0
29;25;0;25
30;166;0;166
31;35;9.0;26.0
32;102;102.0;0.0
33;24;0;24
34;296;0;296
35;284;451.0;167.0
36;32;0;32
37;632;336.0;296.0
38;520;62.0;458.0
39;473;80.0;393.0
40;123;1.0;122.0
41;552;435.0;117.0
42;612;168.0;444.0
43;1466;1416.0;50.0
44;1333;1714.0;381.0
45;539;43.0;496.0
46;57;123.0;66.0
47;39;0;39
48;879;604.0;275.0
49;215;78.0;137.0
50;167;0;167
51;221;674.0;453.0
52;1541;665.0;876.0
53;1995;2039.0;44.0
54;82;0;82
55;488;444.0;44.0
56;11;0;11
57;104;578.0;474.0
58;974;944.0;30.0
59;415;0;415
60;242;356.0;114.0
61;725;654.0;71.0
62;7;0;7
63;2035;1795.0;240.0
64;30;0;30
65;192;59.0;133.0
66;1822;1788.0;34.0
67;215;33.0;182.0
68;170;190.0;20.0
69;152;0;152
70;17;0;17
71;59;0;59
72;21;374.0;353.0
73;292;1898.0;1606.0
74;303;0;303
75;2;0;2
76;32;0;32
77;189;141.0;48.0
78;34;0;34
79;424;420.0;4.0
80;358;0;358
81;288;451.0;163.0
82;227;115.0;112.0
83;335;0;335
85;135;63.0;72.0
86;343;329.0;14.0
87;46;87.0;41.0
88;358;0;358
89;1032;379.0;653.0
90;20;0;20
91;39;1555.0;1516.0
92;52;0;52
93;89;0;89
94;434;406.0;28.0
96;268;184.0;84.0
97;1583;1062.0;521.0
98;1481;399.0;1082.0
99;964;171.0;793.0
100;712;1006.0;294.0
101;685;89.0;596.0
102;95;0;95
104;1;0;1
105;23;3.0;20.0
106;87;0;87
107;81;14.0;67.0
108;37;42.0;5.0
109;2;0;2
110;252;257.0;5.0
111;21;0;21
112;24;66.0;42.0
113;146;0;146
114;50;0;50
115;1;0;1
116;3;4.0;1.0
117;126;0;126
118;48;0;48
119;78;57.0;21.0
120;5;27.0;22.0
121;153;0;153
122;53;13.0;40.0
123;1327;920.0;407.0
124;265;129.0;136.0
125;418;386.0;32.0
126;46;138.0;92.0
127;47;70.0;23.0
128;22;0;22
129;153;188.0;35.0
130;23;26.0;3.0
131;32;0;32
132;89;41.0;48.0
133;290;0;290
134;1068;1207.0;139.0
135;69;0;69
136;23;388.0;365.0
137;89;428.0;339.0
138;193;0;193
139;189;0;189
140;35;237.0;202.0
141;262;60.0;202.0
142;141;0;141
143;174;116.0;58.0
144;1;0;1
145;186;44.0;142.0
146;733;0;733
147;938;26.0;912.0
148;427;111.0;316.0
149;1149;357.0;792.0
150;21;64.0;43.0
151;648;624.0;24.0
152;46;0;46
153;725;657.0;68.0
154;1;0;1
155;17;56.0;39.0
156;112;65.0;47.0
157;11;0;11
158;34;4.0;30.0
159;220;240.0;20.0
160;192;52.0;140.0
161;26;0;26
162;50;62.0;12.0
163;30;16.0;14.0
164;46;0;46
165;728;399.0;329.0
166;215;0;215
167;12;0;12
168;76;104.0;28.0
169;98;12.0;86.0
171;60;0;60
172;245;160.0;85.0
173;294;345.0;51.0
177;175;334.0;159.0
178;16;42.0;26.0
179;3;0;3
180;892;0;892
181;50;960.0;910.0
182;1000;962.0;38.0
183;63;55.0;8.0
184;283;182.0;101.0
185;16;0;16
186;1184;0;1184
187;351;1696.0;1345.0
188;1169;1060.0;109.0
189;1226;2216.0;990.0
190;995;0;995
191;24;0;24
192;20;28.0;8.0
193;23;227.0;204.0
194;459;253.0;206.0
195;55;1149.0;1094.0
196;22;0;22
197;75;1123.0;1048.0
198;135;0;135
199;335;279.0;56.0
200;319;1447.0;1128.0
201;162;13.0;149.0
202;1136;1070.0;66.0
203;539;1547.0;1008.0
204;919;573.0;346.0
205;1282;622.0;660.0
206;18;0;18
207;52;15.0;37.0
208;4;68.0;64.0
210;319;292.0;27.0
211;206;221.0;15.0
212;549;489.0;60.0
213;282;0;282
214;17;0;17
215;219;117.0;102.0
216;174;26.0;148.0
217;122;0;122
218;31;0;31
219;111;0;111
220;81;52.0;29.0
221;18;0;18
222;1363;1291.0;72.0
223;28;0;28
224;33;26.0;7.0
225;39;65.0;26.0
226;72;0;72
227;60;26.0;34.0
228;74;0;74
229;1208;0;1208
230;69;0;69
231;52;1581.0;1529.0
232;24;474.0;450.0
233;424;0;424
234;35;0;35
235;1583;1739.0;156.0
236;19;50.0;31.0
237;948;929.0;19.0
238;89;0;89
239;45;86.0;41.0
240;900;609.0;291.0
241;209;398.0;189.0
242;171;0;171
243;200;0;200
244;44;0;44
245;79;143.0;64.0
246;25;51.0;26.0
247;68;0;68
248;18;47.0;29.0
249;310;0;310
250;27;0;27
251;46;70.0;24.0
252;24;0;24
254;66;28.0;38.0
255;12;55.0;43.0
256;35;0;35
257;1132;0;1132
260;25;0;25
261;49;96.0;47.0
262;68;0;68
263;89;44.0;45.0
264;269;0;269
265;12;121.0;109.0
266;312;117.0;195.0
267;335;239.0;96.0
268;6;0;6
269;390;355.0;35.0
270;441;0;441
271;467;268.0;199.0
272;159;0;159
273;112;0;112
274;417;559.0;142.0
275;953;817.0;136.0
276;50;14.0;36.0
277;20;0;20
278;113;62.0;51.0
279;145;192.0;47.0
280;23;0;23
281;25;0;25
282;640;1002.0;362.0
283;906;0;906
284;28;0;28
285;25;0;25
286;602;1020.0;418.0
287;25;0;25
288;174;146.0;28.0
289;19;0;19
290;2;0;2
291;26;0;26
293;24;3.0;21.0
294;40;0;40
295;230;315.0;85.0
296;20;0;20
297;25;26.0;1.0
298;23;26.0;3.0
299;16;60.0;44.0
300;570;1094.0;524.0
301;117;56.0;61.0
302;15;0;15
303;128;118.0;10.0
304;45;0;45
305;23;94.0;71.0
306;609;0;609
307;621;0;621
308;167;173.0;6.0
309;70;51.0;19.0
311;259;106.0;153.0
312;316;0;316
313;1061;1023.0;38.0
314;22;59.0;37.0
315;34;0;34
316;13;0;13
317;878;0;878
318;15;0;15
319;12;208.0;196.0
320;6;0;6
