i;tmja_avant;tmja_apres;diff_tmja
1;10;0;10
2;38;239.0;201.0
3;859;745.0;114.0
4;223;327.0;104.0
5;262;58.0;204.0
6;91;0;91
7;3;14.0;11.0
8;120;0;120
9;67;44.0;23.0
10;129;0;129
11;82;58.0;24.0
12;181;0;181
13;26;6.0;20.0
14;720;0;720
15;136;0;136
16;390;0;390
17;537;288.0;249.0
18;103;60.0;43.0
19;92;104.0;12.0
20;22;0;22
21;17;0;17
22;0;43.0;43.0
23;474;0;474
24;1053;938.0;115.0
25;527;353.0;174.0
26;515;0;515
27;20;47.0;27.0
28;45;40.0;5.0
29;27;13.0;14.0
30;1;0;1
31;16;49.0;33.0
32;63;0;63
33;0;18.0;18.0
34;722;726.0;4.0
35;785;796.0;11.0
36;119;0;119
37;31;0;31
38;191;22.0;169.0
39;34;2.0;32.0
40;65;0;65
41;84;0;84
42;18;6.0;12.0
43;280;360.0;80.0
44;299;0;299
45;28;0;28
46;640;718.0;78.0
47;9;0;9
48;4;0;4
49;713;706.0;7.0
50;167;0;167
51;77;42.0;35.0
52;480;345.0;135.0
53;487;0;487
54;119;66.0;53.0
55;582;193.0;389.0
56;614;411.0;203.0
57;1442;328.0;1114.0
58;1294;334.0;960.0
59;567;0;567
60;1708;1074.0;634.0
61;16;0;16
62;79;6.0;73.0
63;61;168.0;107.0
64;34;0;34
65;852;0;852
66;46;0;46
67;18;146.0;128.0
68;230;202.0;28.0
69;19;0;19
70;22;0;22
71;216;289.0;73.0
72;1512;22.0;1490.0
73;99;0;99
74;1939;130.0;1809.0
75;1669;0;1669
76;72;0;72
77;478;10.0;468.0
78;60;0;60
79;8;57.0;49.0
80;24;0;24
81;108;0;108
82;930;1246.0;316.0
83;446;0;446
84;497;0;497
85;240;396.0;156.0
86;474;298.0;176.0
87;739;0;739
88;276;0;276
89;12;6.0;6.0
90;1992;0;1992
91;30;94.0;64.0
92;115;0;115
93;25;0;25
94;173;12.0;161.0
95;1803;0;1803
96;197;6.0;191.0
97;149;112.0;37.0
98;31;0;31
99;19;0;19
100;81;45.0;36.0
101;21;0;21
102;303;1253.0;950.0
103;281;54.0;227.0
104;4;0;4
105;24;0;24
106;183;158.0;25.0
107;26;0;26
108;409;0;409
109;27;0;27
110;332;249.0;83.0
111;208;152.0;56.0
112;317;0;317
113;373;0;373
114;0;255.0;255.0
115;132;57.0;75.0
116;342;0;342
117;48;0;48
118;368;327.0;41.0
119;1014;341.0;673.0
120;1287;1289.0;2.0
121;9;0;9
122;140;0;140
123;797;842.0;45.0
124;40;1618.0;1578.0
125;52;0;52
126;93;0;93
127;426;0;426
128;284;907.0;623.0
129;280;0;280
130;1518;0;1518
131;1517;1546.0;29.0
132;980;0;980
133;6;0;6
134;671;0;671
135;961;0;961
136;82;5.0;77.0
137;42;777.0;735.0
138;76;12.0;64.0
139;1;0;1
140;66;0;66
141;245;0;245
142;201;0;201
143;23;237.0;214.0
144;133;30.0;103.0
145;115;0;115
146;1;0;1
147;17;6.0;11.0
148;53;0;53
149;87;0;87
150;94;0;94
151;44;12.0;32.0
152;1;0;1
153;28;0;28
154;136;12.0;124.0
155;94;0;94
156;35;0;35
157;26;0;26
158;1;6.0;5.0
159;2;6.0;4.0
160;64;32.0;32.0
161;7;0;7
162;109;6.0;103.0
163;52;0;52
164;36;0;36
165;60;0;60
166;50;50.0;0.0
167;181;54.0;127.0
168;76;0;76
169;101;13.0;88.0
170;1293;305.0;988.0
171;327;0;327
172;195;0;195
173;1103;299.0;804.0
174;102;0;102
175;19;424.0;405.0
176;195;0;195
177;254;0;254
178;414;0;414
179;28;70.0;42.0
180;94;0;94
181;457;0;457
182;91;16.0;75.0
183;76;22.0;54.0
184;53;0;53
185;38;0;38
186;94;0;94
187;17;0;17
188;378;24.0;354.0
189;24;0;24
190;159;24.0;135.0
191;7;0;7
192;272;903.0;631.0
193;240;0;240
194;102;884.0;782.0
195;261;0;261
196;974;0;974
197;109;0;109
198;52;101.0;49.0
199;20;0;20
200;116;0;116
201;162;0;162
202;162;172.0;10.0
